                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95043,                0.53862,                 1.1392,                0.96689,                0.96209,                0.96999,                0.73039,                 1.2069,                0.51752,                 1.4124,             0.00015719,             0.00015719,             0.00015719
                      2,                0.96838,                0.55609,                 1.1471,                0.94135,                0.96239,                0.96283,                0.70014,                 1.2768,                0.53291,                  1.437,             0.00032759,             0.00032759,             0.00032759
                      3,                 0.9425,                0.53593,                 1.1289,                0.95499,                 0.9537,                0.96771,                0.69672,                  1.292,                 0.5499,                 1.4383,             0.00049685,             0.00049685,             0.00049685
                      4,                0.98013,                0.54978,                 1.1392,                0.93936,                0.94333,                0.96371,                0.69991,                 1.1759,                0.53973,                 1.4246,             0.00066498,             0.00066498,             0.00066498
                      5,                      1,                0.57243,                 1.1658,                0.95444,                0.93376,                 0.9588,                0.67369,                 1.1961,                0.54421,                 1.4671,             0.00083198,             0.00083198,             0.00083198
                      6,                0.95661,                0.54872,                 1.1442,                0.88056,                0.96731,                0.95869,                0.71193,                 1.1856,                0.57732,                 1.4451,             0.00099785,             0.00099785,             0.00099785
                      7,                0.95591,                0.54653,                 1.1431,                0.95363,                0.93519,                0.98034,                0.65979,                 1.1787,                0.58128,                 1.4057,              0.0011626,              0.0011626,              0.0011626
                      8,                0.99173,                0.56298,                 1.1574,                0.94277,                0.93519,                0.96614,                0.65869,                 1.2492,                0.60536,                 1.4646,              0.0013262,              0.0013262,              0.0013262
                      9,                 1.0062,                0.57872,                 1.1529,                0.89235,                 0.9525,                0.94355,                0.70657,                 1.2259,                0.58687,                   1.46,              0.0013913,              0.0013913,              0.0013913
                     10,                0.96971,                0.56672,                 1.1419,                0.93373,                0.96296,                0.96569,                0.66609,                 1.2209,                0.65957,                 1.4659,              0.0013866,              0.0013866,              0.0013866
                     11,                0.97037,                0.57181,                 1.1468,                  0.952,                0.94134,                0.95597,                0.60924,                 1.3821,                 0.6555,                 1.5699,              0.0013818,              0.0013818,              0.0013818
                     12,                0.98422,                0.57254,                 1.1659,                0.95038,                0.93519,                 0.9544,                 0.6707,                 1.3091,                0.59546,                 1.5627,              0.0013771,              0.0013771,              0.0013771
                     13,                0.99548,                0.57087,                 1.1661,                 0.9487,                0.94444,                0.96055,                0.70928,                 1.1395,                0.58353,                 1.4474,              0.0013724,              0.0013724,              0.0013724
                     14,                0.97383,                0.57589,                 1.1413,                0.94525,                0.93703,                0.96022,                 0.7139,                 1.2294,                0.58235,                 1.4892,              0.0013677,              0.0013677,              0.0013677
                     15,                0.95476,                0.54806,                 1.1419,                0.94867,                0.94444,                0.97092,                0.68082,                 1.2252,                0.64773,                 1.5078,               0.001363,               0.001363,               0.001363
                     16,                0.94522,                0.54017,                 1.1382,                0.95935,                0.96296,                0.96004,                0.66525,                 1.3522,                0.61016,                 1.5308,              0.0013583,              0.0013583,              0.0013583
                     17,                0.95252,                0.54663,                 1.1384,                0.95156,                0.96994,                0.96581,                0.69574,                 1.2187,                0.64474,                 1.5021,              0.0013535,              0.0013535,              0.0013535
                     18,                0.97188,                0.56827,                 1.1573,                0.95241,                0.97677,                0.98573,                0.67337,                 1.3371,                0.61713,                 1.4855,              0.0013488,              0.0013488,              0.0013488
                     19,                0.94998,                0.55601,                 1.1361,                0.95834,                0.96296,                0.97704,                0.68238,                 1.3214,                0.60828,                 1.5211,              0.0013441,              0.0013441,              0.0013441
                     20,                0.96121,                0.55037,                 1.1438,                0.90537,                0.97222,                 0.9777,                0.69774,                 1.2068,                0.54951,                 1.4971,              0.0013394,              0.0013394,              0.0013394
                     21,                0.92474,                0.53296,                 1.1392,                0.95787,                0.96106,                0.96881,                0.70957,                 1.1616,                0.53624,                 1.4425,              0.0013347,              0.0013347,              0.0013347
                     22,                0.95576,                0.55091,                 1.1486,                0.93875,                0.94798,                0.96975,                 0.6678,                  1.272,                0.58627,                 1.5018,                0.00133,                0.00133,                0.00133
                     23,                0.93846,                0.54255,                 1.1361,                0.95114,                0.97222,                0.98422,                0.69729,                 1.1887,                0.54081,                 1.4666,              0.0013253,              0.0013253,              0.0013253
                     24,                0.95684,                0.54731,                 1.1326,                 0.9408,                0.91667,                0.96384,                0.71213,                 1.2796,                0.56408,                 1.4632,              0.0013205,              0.0013205,              0.0013205
                     25,                0.93752,                0.56014,                 1.1349,                0.95047,                0.92593,                0.95146,                0.70709,                 1.2599,                0.55647,                 1.4647,              0.0013158,              0.0013158,              0.0013158
                     26,                0.93013,                0.53435,                 1.1177,                0.95954,                0.94433,                 0.9512,                0.63446,                 1.3518,                0.62899,                 1.5857,              0.0013111,              0.0013111,              0.0013111
                     27,                0.91356,                 0.5279,                 1.1205,                0.89124,                0.96726,                0.96116,                0.68467,                 1.2991,                0.60701,                 1.5425,              0.0013064,              0.0013064,              0.0013064
                     28,                0.88574,                0.51888,                 1.1134,                0.95651,                0.89451,                 0.9585,                0.69921,                 1.2979,                0.62585,                 1.4956,              0.0013017,              0.0013017,              0.0013017
                     29,                0.90077,                0.50835,                 1.1149,                0.96855,                0.93961,                0.96977,                0.73794,                   1.21,                 0.5318,                 1.4395,               0.001297,               0.001297,               0.001297
                     30,                0.88496,                0.52061,                 1.0972,                0.96203,                0.96296,                0.97275,                0.70483,                 1.2261,                0.56235,                 1.4547,              0.0012922,              0.0012922,              0.0012922
                     31,                0.89956,                0.52092,                 1.1167,                0.97533,                0.94181,                0.98451,                0.68637,                 1.2646,                0.56671,                 1.5406,              0.0012875,              0.0012875,              0.0012875
                     32,                0.89074,                0.50301,                 1.1116,                  0.963,                 0.9344,                0.97091,                0.64854,                 1.2768,                0.58747,                 1.5446,              0.0012828,              0.0012828,              0.0012828
                     33,                0.88858,                0.52167,                 1.1006,                0.96076,                0.93849,                0.97197,                0.71984,                 1.1741,                0.55672,                 1.4522,              0.0012781,              0.0012781,              0.0012781
                     34,                0.90012,                0.51413,                 1.1082,                0.97758,                 0.9303,                0.96843,                0.69111,                 1.2255,                0.63523,                 1.4402,              0.0012734,              0.0012734,              0.0012734
                     35,                0.89927,                0.50904,                 1.1006,                0.97181,                0.94734,                0.96936,                0.73539,                 1.1848,                0.57437,                 1.3992,              0.0012687,              0.0012687,              0.0012687
                     36,                0.91214,                0.51649,                 1.1094,                0.94685,                0.92634,                 0.9676,                0.63353,                  1.306,                0.59678,                 1.4852,               0.001264,               0.001264,               0.001264
                     37,                0.87778,                 0.4973,                 1.1001,                0.94987,                0.96663,                0.98327,                0.67575,                 1.2406,                0.52789,                 1.4209,              0.0012592,              0.0012592,              0.0012592
                     38,                0.88136,                0.50622,                 1.0908,                 0.9776,                0.95478,                0.98523,                0.70338,                 1.2452,                0.53859,                 1.3862,              0.0012545,              0.0012545,              0.0012545
                     39,                0.87252,                 0.5089,                  1.084,                0.94984,                0.93145,                0.95522,                0.61497,                 1.3507,                0.57916,                 1.5933,              0.0012498,              0.0012498,              0.0012498
                     40,                0.87658,                0.51213,                 1.0916,                0.93264,                0.95009,                0.96193,                0.67022,                 1.2788,                0.51588,                 1.5449,              0.0012451,              0.0012451,              0.0012451
                     41,                0.84755,                0.50066,                 1.0797,                0.93403,                0.96448,                0.96805,                0.70949,                  1.203,                0.51422,                 1.4365,              0.0012404,              0.0012404,              0.0012404
                     42,                0.84782,                0.49232,                 1.0962,                0.87398,                0.93893,                0.95127,                0.68901,                 1.1715,                 0.5462,                 1.4199,              0.0012357,              0.0012357,              0.0012357
                     43,                0.83952,                0.49213,                 1.0731,                0.96022,                0.91864,                0.97401,                0.68254,                 1.2421,                0.56569,                 1.4715,              0.0012309,              0.0012309,              0.0012309
                     44,                0.82847,                0.47061,                  1.074,                 0.9126,                0.92593,                0.97715,                0.70861,                 1.2105,                0.55326,                 1.4529,              0.0012262,              0.0012262,              0.0012262
                     45,                0.82148,                0.48204,                 1.0747,                0.94071,                 0.9537,                0.96608,                0.72114,                 1.1877,                0.54973,                 1.4364,              0.0012215,              0.0012215,              0.0012215
                     46,                0.82023,                0.47607,                 1.0675,                 0.9275,                0.95776,                0.96666,                0.72919,                  1.208,                0.51497,                 1.4802,              0.0012168,              0.0012168,              0.0012168
                     47,                0.82004,                0.46088,                 1.0653,                0.95597,                0.96296,                0.97329,                0.70614,                 1.1474,                0.52437,                 1.4507,              0.0012121,              0.0012121,              0.0012121
                     48,                 0.8342,                0.49119,                  1.088,                0.95354,                0.94852,                 0.9668,                0.70714,                 1.1637,                0.51634,                 1.4028,              0.0012074,              0.0012074,              0.0012074
                     49,                0.79426,                0.46504,                 1.0642,                0.94002,                0.98148,                0.97408,                0.71514,                 1.1892,                0.54126,                 1.4621,              0.0012026,              0.0012026,              0.0012026
                     50,                0.81459,                0.46506,                 1.0629,                0.95088,                0.96296,                0.98244,                0.71401,                 1.1991,                0.55102,                 1.4717,              0.0011979,              0.0011979,              0.0011979
                     51,                 0.8385,                0.48293,                 1.0812,                0.96044,                0.96483,                0.98785,                0.72818,                  1.197,                 0.5005,                 1.4877,              0.0011932,              0.0011932,              0.0011932
                     52,                0.82794,                0.47717,                  1.061,                0.93322,                0.93566,                0.98604,                0.71564,                 1.1466,                0.50522,                 1.4125,              0.0011885,              0.0011885,              0.0011885
                     53,                 0.8007,                0.47227,                 1.0624,                0.96594,                0.98148,                0.98638,                0.72191,                   1.19,                0.52357,                 1.4167,              0.0011838,              0.0011838,              0.0011838
                     54,                 0.8059,                0.47916,                 1.0696,                0.96518,                0.96246,                0.97523,                0.69448,                 1.2252,                0.49476,                 1.4792,              0.0011791,              0.0011791,              0.0011791
                     55,                0.81183,                0.46459,                 1.0624,                 0.9529,                0.95361,                0.97743,                 0.6762,                 1.2574,                0.54559,                 1.4744,              0.0011744,              0.0011744,              0.0011744
                     56,                0.78962,                0.45685,                  1.069,                0.96883,                0.96575,                0.97663,                0.66483,                 1.3084,                0.52024,                 1.5517,              0.0011696,              0.0011696,              0.0011696
                     57,                0.77972,                0.45765,                 1.0432,                0.96773,                 0.9563,                0.97446,                0.71155,                 1.2632,                0.50845,                 1.5604,              0.0011649,              0.0011649,              0.0011649
                     58,                0.80752,                 0.4677,                 1.0656,                0.95301,                0.97222,                0.96088,                0.67738,                 1.2844,                0.50767,                 1.5725,              0.0011602,              0.0011602,              0.0011602
                     59,                0.79387,                0.47363,                 1.0565,                0.95838,                0.96469,                0.97248,                0.70745,                 1.1916,                0.52421,                 1.5091,              0.0011555,              0.0011555,              0.0011555
                     60,                 0.7946,                0.46796,                 1.0605,                0.93916,                0.94414,                0.96905,                0.70719,                 1.2573,                0.54853,                 1.5862,              0.0011508,              0.0011508,              0.0011508
                     61,                0.76937,                0.44906,                 1.0473,                0.93199,                0.96114,                0.97099,                0.72367,                 1.2563,                0.54477,                 1.5559,              0.0011461,              0.0011461,              0.0011461
                     62,                0.80009,                0.46398,                 1.0678,                 0.9683,                0.95401,                0.97738,                0.69192,                 1.3281,                0.55136,                 1.6032,              0.0011413,              0.0011413,              0.0011413
                     63,                0.78235,                0.45565,                 1.0586,                0.95284,                0.94726,                0.96742,                0.69992,                 1.2793,                 0.5201,                 1.5612,              0.0011366,              0.0011366,              0.0011366
                     64,                0.78735,                0.45505,                 1.0461,                0.95695,                0.94826,                 0.9698,                  0.712,                 1.2405,                0.51055,                 1.5124,              0.0011319,              0.0011319,              0.0011319
                     65,                0.76517,                0.44558,                 1.0475,                 0.9555,                0.95679,                0.97075,                0.69728,                 1.2472,                0.51573,                 1.5123,              0.0011272,              0.0011272,              0.0011272
                     66,                0.75702,                0.43973,                 1.0386,                0.94179,                0.97344,                0.96968,                0.72849,                  1.157,                0.50762,                 1.4794,              0.0011225,              0.0011225,              0.0011225
                     67,                0.77444,                0.43473,                 1.0351,                0.97345,                0.96135,                0.97494,                0.68449,                 1.2709,                0.50437,                 1.5416,              0.0011178,              0.0011178,              0.0011178
                     68,                0.78117,                0.43786,                  1.049,                0.97661,                0.95946,                 0.9783,                0.63972,                 1.3533,                0.49522,                  1.653,               0.001113,               0.001113,               0.001113
                     69,                0.76148,                0.44221,                 1.0461,                0.96408,                0.96296,                0.97773,                0.68444,                 1.2349,                0.48964,                 1.5332,              0.0011083,              0.0011083,              0.0011083
                     70,                0.74781,                0.43147,                 1.0416,                0.96126,                0.96969,                 0.9779,                0.67533,                 1.3079,                0.50045,                 1.5848,              0.0011036,              0.0011036,              0.0011036
                     71,                 0.7143,                0.41141,                 1.0255,                0.97928,                0.97314,                0.98056,                  0.726,                 1.2303,                 0.4646,                 1.5554,              0.0010989,              0.0010989,              0.0010989
                     72,                0.73681,                0.41779,                 1.0366,                0.96416,                0.97258,                0.97891,                0.68383,                 1.2339,                0.48066,                 1.5644,              0.0010942,              0.0010942,              0.0010942
                     73,                0.73299,                0.43026,                 1.0323,                0.95846,                0.94653,                0.97851,                0.69727,                 1.2086,                0.49458,                 1.5314,              0.0010895,              0.0010895,              0.0010895
                     74,                0.75118,                 0.4529,                 1.0502,                0.96845,                0.97283,                0.98128,                0.69364,                 1.2328,                0.46443,                  1.509,              0.0010848,              0.0010848,              0.0010848
                     75,                0.72512,                0.43624,                 1.0391,                0.97936,                0.94444,                0.97915,                0.73656,                 1.2162,                0.49612,                  1.505,                0.00108,                0.00108,                0.00108
                     76,                0.74801,                 0.4333,                 1.0386,                0.95205,                0.96296,                0.97391,                0.70626,                 1.2324,                0.49485,                 1.5462,              0.0010753,              0.0010753,              0.0010753
                     77,                0.71713,                0.42201,                 1.0121,                0.96059,                0.94444,                0.96555,                0.70711,                 1.2378,                0.50299,                 1.5278,              0.0010706,              0.0010706,              0.0010706
                     78,                0.74288,                0.43482,                 1.0367,                0.97542,                 0.9537,                0.97854,                 0.7004,                 1.2126,                0.53079,                 1.4752,              0.0010659,              0.0010659,              0.0010659
                     79,                 0.7558,                0.43702,                   1.04,                0.96802,                 0.9537,                0.97543,                0.72767,                 1.2536,                0.54201,                 1.5429,              0.0010612,              0.0010612,              0.0010612
                     80,                0.72782,                0.42871,                 1.0331,                0.95963,                0.96429,                0.97465,                0.73058,                 1.2115,                0.52942,                 1.5387,              0.0010565,              0.0010565,              0.0010565
                     81,                0.72322,                0.42378,                 1.0297,                0.96699,                0.96486,                0.97874,                0.72075,                 1.2694,                0.50988,                 1.6118,              0.0010517,              0.0010517,              0.0010517
                     82,                0.71489,                0.42255,                 1.0175,                0.97288,                0.96296,                0.97954,                0.74375,                 1.2231,                0.49613,                 1.5994,               0.001047,               0.001047,               0.001047
                     83,                0.73649,                0.42133,                 1.0267,                0.97883,                0.95781,                0.97763,                0.74724,                 1.2001,                0.49235,                 1.5488,              0.0010423,              0.0010423,              0.0010423
                     84,                0.70544,                0.41415,                 1.0122,                0.96561,                0.96206,                0.97967,                 0.7202,                 1.2085,                0.51372,                 1.5713,              0.0010376,              0.0010376,              0.0010376
                     85,                0.70583,                0.41377,                 1.0089,                0.97347,                0.95316,                0.97854,                0.72322,                 1.1966,                0.51163,                 1.5778,              0.0010329,              0.0010329,              0.0010329
                     86,                  0.721,                0.42131,                 1.0222,                0.96858,                0.95801,                0.98354,                0.74477,                 1.1765,                0.51869,                 1.5478,              0.0010282,              0.0010282,              0.0010282
                     87,                0.69718,                0.41986,                 1.0132,                0.97714,                0.94826,                0.97739,                0.70231,                 1.2651,                0.52174,                  1.571,              0.0010234,              0.0010234,              0.0010234
                     88,                0.70579,                0.41909,                 1.0208,                0.95806,                 0.9537,                0.95807,                0.68606,                 1.3038,                0.56735,                  1.594,              0.0010187,              0.0010187,              0.0010187
                     89,                0.68567,                0.40807,                0.99809,                0.95773,                0.93519,                0.96095,                 0.7176,                 1.2327,                0.50967,                  1.569,               0.001014,               0.001014,               0.001014
                     90,                0.70795,                0.40519,                   1.02,                0.94697,                0.92849,                 0.9473,                0.71222,                 1.2064,                0.59006,                 1.5474,              0.0010093,              0.0010093,              0.0010093
                     91,                0.68528,                0.41736,                 1.0047,                0.93923,                0.94156,                0.93021,                0.65561,                 1.2767,                0.56817,                   1.59,              0.0010046,              0.0010046,              0.0010046
                     92,                0.70108,                0.41407,                 1.0114,                0.90454,                0.93321,                0.95398,                0.67998,                 1.2077,                0.54694,                 1.5693,             0.00099987,             0.00099987,             0.00099987
                     93,                0.70138,                0.41232,                0.99972,                0.96304,                0.94444,                0.97288,                0.70154,                 1.2561,                0.56206,                 1.5668,             0.00099516,             0.00099516,             0.00099516
                     94,                0.72416,                  0.433,                 1.0254,                0.98057,                0.94681,                0.98652,                0.70784,                 1.1694,                0.50812,                 1.5216,             0.00099044,             0.00099044,             0.00099044
                     95,                0.69626,                0.40605,                0.99881,                0.97951,                0.93795,                0.97703,                 0.7245,                 1.1465,                0.50079,                  1.514,             0.00098572,             0.00098572,             0.00098572
                     96,                 0.6845,                0.39803,                 1.0006,                 0.9836,                0.96296,                 0.9816,                0.77172,                 1.1378,                0.46269,                 1.4738,             0.00098101,             0.00098101,             0.00098101
                     97,                0.68361,                0.40517,                 1.0023,                0.98184,                0.96524,                0.98178,                0.73929,                  1.142,                0.45362,                 1.4639,             0.00097629,             0.00097629,             0.00097629
